R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_KD_success_percent,B_KD_success_percent,R_TD_success_percent,B_TD_success_percent,R_HEAD_success_percent,B_HEAD_success_percent,R_BODY_success_percent,B_BODY_success_percent,R_LEG_success_percent,B_LEG_success_percent,R_SIG_STR._success_percent,B_SIG_STR._success_percent,R_TOTAL_STR._success_percent,B_TOTAL_STR._success_percent,R_CLINCH_success_percent,B_CLINCH_success_percent,R_GROUND_success_percent,B_GROUND_success_percent,fight_mins,Result,day_of_week_,country_,win_by_
16.0,30.0,0.0,50.0,0,1,0,1,0,0,-1.0,-1.0,-1.0,50.0,16.67,16.67,-1.0,0.0,-1.0,100.0,16.67,30.0,16.67,30.0,-1.0,-1.0,-1.0,-1.0,0.82,Blue,1,1,4
40.0,57.0,0.0,0.0,0,0,0,0,0,0,-1.0,100.0,-1.0,-1.0,28.57,46.43,60.0,100.0,66.67,100.0,40.62,57.14,40.62,59.46,100.0,61.54,-1.0,-1.0,2.5,Blue,1,1,1
48.0,61.0,70.0,66.0,0,0,3,4,1,3,-1.0,-1.0,70.0,66.67,34.78,33.33,72.73,95.0,100.0,80.0,48.57,61.54,55.0,67.65,68.42,76.0,100.0,100.0,15.0,Blue,1,1,2
50.0,78.0,0.0,50.0,0,0,0,0,0,0,-1.0,100.0,0.0,50.0,16.67,73.91,36.36,100.0,100.0,66.67,50.0,78.12,50.0,78.12,-1.0,100.0,-1.0,93.33,2.87,Blue,1,1,1
54.0,30.0,50.0,0.0,0,0,1,0,0,0,-1.0,-1.0,50.0,-1.0,50.0,26.03,40.0,100.0,67.74,55.56,54.55,30.95,68.18,52.86,50.0,100.0,75.0,75.0,15.0,Red,1,1,2
62.0,76.0,50.0,54.0,2,4,4,9,2,2,-1.0,-1.0,50.0,54.55,54.29,66.67,100.0,75.0,100.0,100.0,62.79,76.92,77.55,78.57,0.0,57.14,73.91,100.0,15.0,Red,1,1,5
58.0,43.0,0.0,0.0,0,1,0,1,1,0,100.0,-1.0,0.0,0.0,47.15,30.26,71.7,71.05,84.62,-1.0,58.42,43.86,60.56,49.61,82.98,71.05,100.0,100.0,15.0,Red,1,1,2
49.0,45.0,0.0,0.0,0,0,1,0,0,0,100.0,-1.0,0.0,-1.0,36.36,30.0,71.43,65.0,64.0,87.5,49.32,45.76,55.93,47.54,71.43,75.0,75.0,-1.0,15.0,Red,1,1,2
25.0,18.0,0.0,0.0,0,0,0,0,0,0,100.0,-1.0,0.0,-1.0,10.77,11.82,50.0,64.29,100.0,50.0,25.29,18.75,25.29,18.75,-1.0,-1.0,-1.0,-1.0,14.23,Red,1,1,1
44.0,29.0,0.0,11.0,0,0,0,0,0,0,-1.0,-1.0,-1.0,11.11,24.14,18.0,76.0,64.29,75.0,91.67,44.44,29.47,46.5,35.58,40.0,44.44,100.0,71.43,15.0,Blue,1,1,2
41.0,23.0,0.0,0.0,0,0,0,0,0,0,-1.0,-1.0,0.0,-1.0,29.17,17.31,69.23,64.52,88.24,50.0,41.27,23.87,41.73,23.87,40.0,0.0,-1.0,-1.0,15.0,Blue,1,1,2
46.0,40.0,33.0,50.0,0,1,1,2,2,0,-1.0,-1.0,33.33,50.0,42.16,23.81,90.0,75.0,-1.0,100.0,46.43,40.0,51.97,52.29,50.0,70.0,80.0,-1.0,15.0,Red,1,1,2
53.0,32.0,0.0,0.0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,41.67,24.32,38.1,55.56,71.43,42.86,53.28,32.74,53.96,32.46,-1.0,-1.0,-1.0,-1.0,15.0,Red,1,1,2
50.0,28.0,60.0,0.0,0,0,7,0,0,0,-1.0,-1.0,60.0,0.0,44.19,16.67,83.33,63.64,100.0,33.33,50.98,28.0,65.38,51.25,100.0,100.0,64.29,100.0,15.0,Red,1,1,2
50.0,29.0,0.0,0.0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,40.96,28.05,75.0,50.0,78.95,100.0,50.0,29.41,51.3,31.82,69.57,55.56,-1.0,50.0,8.02,Red,1,1,1
38.0,21.0,0.0,62.0,2,2,1,4,1,1,-1.0,-1.0,0.0,62.5,24.14,13.51,63.64,50.0,75.0,100.0,38.64,21.43,50.0,39.68,33.33,100.0,-1.0,-1.0,15.0,Red,1,1,2
75.0,40.0,0.0,0.0,0,0,0,0,0,0,100.0,-1.0,-1.0,-1.0,77.78,20.0,0.0,33.33,83.33,100.0,75.0,40.0,76.47,40.0,-1.0,-1.0,100.0,-1.0,1.42,Red,1,1,1
50.0,28.0,100.0,0.0,1,0,2,0,0,0,-1.0,-1.0,100.0,-1.0,42.86,16.67,100.0,100.0,0.0,-1.0,50.0,28.57,60.61,28.57,100.0,0.0,100.0,-1.0,4.4,Red,1,1,4
66.0,22.0,63.0,0.0,0,0,4,0,0,0,-1.0,-1.0,63.64,-1.0,52.63,22.22,33.33,-1.0,100.0,-1.0,66.67,22.22,80.0,56.25,50.0,-1.0,65.0,-1.0,15.0,Red,1,1,2
43.0,58.0,0.0,0.0,0,0,0,0,0,0,-1.0,100.0,-1.0,-1.0,40.0,23.81,45.0,58.33,58.82,90.91,43.93,58.18,43.93,58.18,-1.0,-1.0,-1.0,100.0,9.92,Blue,1,1,1
20.0,57.0,0.0,0.0,0,0,0,0,0,0,-1.0,-1.0,0.0,-1.0,7.14,29.41,16.67,72.41,76.92,80.49,20.0,57.02,20.0,56.91,0.0,0.0,-1.0,-1.0,15.0,Blue,1,1,2
30.0,44.0,0.0,33.0,0,0,0,0,0,0,-1.0,-1.0,-1.0,33.33,26.09,30.16,33.33,71.43,66.67,64.29,30.86,44.76,30.86,44.76,0.0,33.33,-1.0,-1.0,15.0,Blue,1,1,2
58.0,23.0,33.0,0.0,0,0,1,0,0,0,100.0,-1.0,33.33,0.0,59.26,19.51,50.0,20.0,-1.0,62.5,58.93,23.16,61.02,23.16,81.82,50.0,80.0,-1.0,9.7,Red,1,6,1
59.0,25.0,75.0,33.0,0,0,2,0,0,0,100.0,-1.0,75.0,33.33,33.93,16.0,88.0,50.0,88.0,100.0,59.43,25.0,64.0,33.8,66.67,100.0,66.67,0.0,15.0,Red,1,6,2
33.0,28.0,0.0,0.0,0,0,0,0,0,0,100.0,-1.0,-1.0,0.0,27.78,8.2,76.92,46.15,25.0,63.33,33.33,28.85,35.04,28.57,0.0,0.0,25.0,-1.0,15.0,Red,1,6,2
20.0,33.0,0.0,0.0,0,0,0,0,0,0,-1.0,100.0,-1.0,-1.0,14.07,21.43,90.91,53.33,66.67,90.0,20.81,33.68,20.81,35.35,-1.0,60.0,-1.0,-1.0,15.0,Red,1,6,5
37.0,56.0,66.0,25.0,2,0,3,1,1,0,-1.0,-1.0,66.67,25.0,26.42,25.0,44.44,83.33,63.16,84.62,37.04,56.67,42.86,57.38,60.0,100.0,-1.0,-1.0,7.77,Red,1,6,4
